icao24,time,lat,lon,altitude,velocity
ad563d,2026-04-11 18:47:20+00:00,29.9599,-95.3411,0,
ad563d,2026-04-11 18:47:28+00:00,29.9558,-95.3373,304,
ad563d,2026-04-11 18:47:35+00:00,29.9528,-95.3332,304,
ad563d,2026-04-11 18:47:42+00:00,29.9498,-95.3282,304,
ad563d,2026-04-11 18:47:47+00:00,29.9474,-95.324,304,
ad563d,2026-04-11 18:47:54+00:00,29.9444,-95.319,609,
ad563d,2026-04-11 18:48:02+00:00,29.9404,-95.3128,609,
ad563d,2026-04-11 18:48:29+00:00,29.9235,-95.2883,609,
ad563d,2026-04-11 18:49:18+00:00,29.8866,-95.238,914,
ad563d,2026-04-11 18:49:26+00:00,29.8812,-95.2293,914,
ad563d,2026-04-11 18:50:38+00:00,29.8332,-95.151,914,
ad563d,2026-04-11 18:50:45+00:00,29.8279,-95.1427,1219,
ad563d,2026-04-11 18:50:52+00:00,29.8225,-95.1355,1219,
ad563d,2026-04-11 18:51:00+00:00,29.8161,-95.1285,1219,
ad563d,2026-04-11 18:51:07+00:00,29.8092,-95.1223,1524,
ad563d,2026-04-11 18:51:24+00:00,29.7932,-95.1085,1524,
ad563d,2026-04-11 18:51:37+00:00,29.7805,-95.0974,1828,
ad563d,2026-04-11 18:51:44+00:00,29.774,-95.0918,2133,
ad563d,2026-04-11 18:51:51+00:00,29.7669,-95.087,2133,
ad563d,2026-04-11 18:51:57+00:00,29.7591,-95.0834,2133,
ad563d,2026-04-11 18:52:04+00:00,29.7508,-95.0813,2438,
ad563d,2026-04-11 18:52:12+00:00,29.742,-95.0799,2438,
ad563d,2026-04-11 18:52:19+00:00,29.733,-95.0787,2438,
ad563d,2026-04-11 18:52:40+00:00,29.706,-95.0754,2743,
ad563d,2026-04-11 18:53:01+00:00,29.6777,-95.072,3048,
ad563d,2026-04-11 18:53:16+00:00,29.659,-95.0695,3352,
ad563d,2026-04-11 18:53:22+00:00,29.6498,-95.0687,3657,
ad563d,2026-04-11 18:53:32+00:00,29.6372,-95.0697,3657,
ad563d,2026-04-11 18:53:39+00:00,29.628,-95.0726,3657,
ad563d,2026-04-11 18:53:45+00:00,29.6201,-95.076,3962,
ad563d,2026-04-11 18:53:59+00:00,29.6024,-95.084,3962,
ad563d,2026-04-11 18:54:19+00:00,29.5762,-95.096,4267,
ad563d,2026-04-11 18:54:40+00:00,29.5484,-95.1089,4572,
ad563d,2026-04-11 18:55:00+00:00,29.5216,-95.1211,4876,
ad563d,2026-04-11 18:55:20+00:00,29.494,-95.1334,5181,
ad563d,2026-04-11 18:55:50+00:00,29.4515,-95.1519,5486,
ad563d,2026-04-11 18:56:38+00:00,29.3746,-95.1855,5791,
ad563d,2026-04-11 18:56:44+00:00,29.3629,-95.1911,5791,
ad563d,2026-04-11 18:56:52+00:00,29.351,-95.1988,5791,
ad563d,2026-04-11 18:56:59+00:00,29.3417,-95.2082,6096,
ad563d,2026-04-11 18:57:05+00:00,29.3335,-95.2201,6096,
ad563d,2026-04-11 18:57:13+00:00,29.3274,-95.2336,6096,
ad563d,2026-04-11 18:57:19+00:00,29.324,-95.2457,6400,
ad563d,2026-04-11 18:57:25+00:00,29.3219,-95.2601,6400,
ad563d,2026-04-11 18:57:34+00:00,29.3215,-95.2787,6400,
ad563d,2026-04-11 18:57:41+00:00,29.3221,-95.2936,6400,
ad563d,2026-04-11 18:57:55+00:00,29.3225,-95.3243,6705,
ad563d,2026-04-11 18:58:00+00:00,29.3224,-95.3363,6705,
ad563d,2026-04-11 18:58:28+00:00,29.3213,-95.3973,7010,
ad563d,2026-04-11 18:59:02+00:00,29.3194,-95.4738,7315,
ad563d,2026-04-11 18:59:22+00:00,29.3183,-95.52,7620,
ad563d,2026-04-11 18:59:51+00:00,29.3168,-95.5883,7924,
ad563d,2026-04-11 19:00:20+00:00,29.3154,-95.6539,8229,
ad563d,2026-04-11 19:00:48+00:00,29.3141,-95.7192,8534,
ad563d,2026-04-11 19:01:15+00:00,29.3129,-95.7832,8839,
ad563d,2026-04-11 19:01:28+00:00,29.3124,-95.8128,9144,
ad563d,2026-04-11 19:01:35+00:00,29.3129,-95.8288,9144,
ad563d,2026-04-11 19:01:44+00:00,29.3145,-95.8493,9448,
ad563d,2026-04-11 19:01:50+00:00,29.3163,-95.8632,9448,
ad563d,2026-04-11 19:01:57+00:00,29.3188,-95.879,9448,
ad563d,2026-04-11 19:02:04+00:00,29.3219,-95.8939,9753,
ad563d,2026-04-11 19:02:11+00:00,29.3255,-95.9091,9753,
ad563d,2026-04-11 19:02:31+00:00,29.3367,-95.9516,9753,
ad563d,2026-04-11 19:03:05+00:00,29.3557,-96.025,10058,
ad563d,2026-04-11 19:03:33+00:00,29.3714,-96.0855,10363,
ad563d,2026-04-11 19:04:02+00:00,29.3875,-96.1473,10668,
ad563d,2026-04-11 19:04:29+00:00,29.4018,-96.2029,10972,
ad563d,2026-04-11 19:05:05+00:00,29.4209,-96.2768,11277,
ad563d,2026-04-11 19:20:03+00:00,29.8746,-98.0926,11582,
ad563d,2026-04-11 19:29:50+00:00,30.1602,-99.2993,11582,
