icao24,time,lat,lon,altitude,velocity
ad5679,2026-04-12 13:06:43+00:00,33.6347,-84.4066,0,
ad5679,2026-04-12 13:07:10+00:00,33.6348,-84.3794,304,
ad5679,2026-04-12 13:08:02+00:00,33.6342,-84.3157,609,
ad5679,2026-04-12 13:08:34+00:00,33.6337,-84.2688,914,
ad5679,2026-04-12 13:08:47+00:00,33.6335,-84.2497,1219,
ad5679,2026-04-12 13:09:08+00:00,33.6335,-84.2189,1524,
ad5679,2026-04-12 13:09:35+00:00,33.634,-84.179,1828,
ad5679,2026-04-12 13:09:56+00:00,33.6341,-84.148,2133,
ad5679,2026-04-12 13:10:15+00:00,33.6343,-84.1199,2438,
ad5679,2026-04-12 13:10:22+00:00,33.6338,-84.1088,2438,
ad5679,2026-04-12 13:10:29+00:00,33.6325,-84.0982,2743,
ad5679,2026-04-12 13:10:36+00:00,33.6307,-84.0879,2743,
ad5679,2026-04-12 13:10:42+00:00,33.6285,-84.0787,2743,
ad5679,2026-04-12 13:11:22+00:00,33.6121,-84.0173,3048,
ad5679,2026-04-12 13:12:17+00:00,33.585,-83.9156,3352,
ad5679,2026-04-12 13:12:44+00:00,33.5706,-83.863,3657,
ad5679,2026-04-12 13:13:05+00:00,33.5587,-83.8193,3962,
ad5679,2026-04-12 13:13:32+00:00,33.5435,-83.7631,4267,
ad5679,2026-04-12 13:13:55+00:00,33.53,-83.7131,4572,
ad5679,2026-04-12 13:14:09+00:00,33.5221,-83.6833,4876,
ad5679,2026-04-12 13:14:16+00:00,33.5187,-83.6683,4876,
ad5679,2026-04-12 13:14:23+00:00,33.5163,-83.6529,5181,
ad5679,2026-04-12 13:14:30+00:00,33.5149,-83.6368,5181,
ad5679,2026-04-12 13:14:37+00:00,33.5145,-83.6211,5181,
