icao24,time,lat,lon,altitude,velocity
adda24,2026-04-11 18:06:08+00:00,41.9883,-87.8766,304,
adda24,2026-04-11 18:06:23+00:00,41.9886,-87.8604,304,
adda24,2026-04-11 18:06:30+00:00,41.9896,-87.8525,609,
adda24,2026-04-11 18:06:38+00:00,41.9924,-87.8438,609,
adda24,2026-04-11 18:06:45+00:00,41.9966,-87.8374,609,
adda24,2026-04-11 18:06:52+00:00,42.0017,-87.8321,609,
adda24,2026-04-11 18:07:00+00:00,42.0085,-87.8258,609,
adda24,2026-04-11 18:07:07+00:00,42.0148,-87.8218,609,
adda24,2026-04-11 18:07:14+00:00,42.0225,-87.8194,609,
adda24,2026-04-11 18:07:20+00:00,42.0294,-87.8193,609,
adda24,2026-04-11 18:07:28+00:00,42.0385,-87.8224,609,
adda24,2026-04-11 18:07:35+00:00,42.0457,-87.8273,914,
adda24,2026-04-11 18:07:43+00:00,42.0535,-87.8349,914,
adda24,2026-04-11 18:07:50+00:00,42.0601,-87.8427,914,
adda24,2026-04-11 18:08:07+00:00,42.0762,-87.8623,1219,
adda24,2026-04-11 18:08:23+00:00,42.0904,-87.8794,1524,
adda24,2026-04-11 18:08:31+00:00,42.0965,-87.8896,1524,
adda24,2026-04-11 18:08:38+00:00,42.1002,-87.8991,1828,
adda24,2026-04-11 18:08:45+00:00,42.1024,-87.9099,1828,
adda24,2026-04-11 18:08:52+00:00,42.1035,-87.9208,1828,
adda24,2026-04-11 18:08:59+00:00,42.1043,-87.9323,1828,
adda24,2026-04-11 18:09:28+00:00,42.1075,-87.9807,2133,
adda24,2026-04-11 18:09:50+00:00,42.11,-88.0173,2438,
adda24,2026-04-11 18:10:13+00:00,42.1126,-88.055,2743,
adda24,2026-04-11 18:11:12+00:00,42.1202,-88.1612,3048,
adda24,2026-04-11 18:12:10+00:00,42.1286,-88.2815,3352,
adda24,2026-04-11 18:12:53+00:00,42.1352,-88.3792,3657,
adda24,2026-04-11 18:13:25+00:00,42.1402,-88.4535,3962,
adda24,2026-04-11 18:13:55+00:00,42.1447,-88.523,4267,
adda24,2026-04-11 18:14:20+00:00,42.1486,-88.5818,4572,
adda24,2026-04-11 18:14:57+00:00,42.1543,-88.6685,4876,
adda24,2026-04-11 18:15:42+00:00,42.1613,-88.7769,5181,
adda24,2026-04-11 18:15:49+00:00,42.1623,-88.7937,5486,
adda24,2026-04-11 18:15:57+00:00,42.1628,-88.8132,5486,
adda24,2026-04-11 18:16:04+00:00,42.1627,-88.831,5486,
adda24,2026-04-11 18:16:35+00:00,42.1608,-88.9082,5486,
adda24,2026-04-11 18:17:11+00:00,42.1588,-88.9974,5791,
adda24,2026-04-11 18:18:02+00:00,42.1554,-89.124,6096,
adda24,2026-04-11 18:19:03+00:00,42.1513,-89.2812,6400,
adda24,2026-04-11 18:20:08+00:00,42.1466,-89.4517,6705,
adda24,2026-04-11 18:21:03+00:00,42.1422,-89.5973,7010,
adda24,2026-04-11 18:22:13+00:00,42.1365,-89.7842,7315,
adda24,2026-04-11 18:23:00+00:00,42.1323,-89.9088,7620,
adda24,2026-04-11 18:23:38+00:00,42.129,-90.0071,7924,
adda24,2026-04-11 18:31:32+00:00,42.0825,-91.2034,8229,
adda24,2026-04-11 18:31:39+00:00,42.0824,-91.2204,8229,
adda24,2026-04-11 18:31:46+00:00,42.0833,-91.2379,8229,
adda24,2026-04-11 18:31:54+00:00,42.0852,-91.2565,8229,
adda24,2026-04-11 18:32:01+00:00,42.0884,-91.2756,8229,
adda24,2026-04-11 18:32:08+00:00,42.0926,-91.2934,8229,
adda24,2026-04-11 18:32:15+00:00,42.0977,-91.3104,8229,
adda24,2026-04-11 18:32:22+00:00,42.1036,-91.3262,8229,
adda24,2026-04-11 18:32:29+00:00,42.1109,-91.3422,8229,
adda24,2026-04-11 18:33:48+00:00,42.1983,-91.5144,8229,
adda24,2026-04-11 18:35:36+00:00,42.3181,-91.7508,8534,
adda24,2026-04-11 18:40:41+00:00,42.645,-92.4058,8229,
adda24,2026-04-11 18:42:00+00:00,42.7289,-92.5773,8534,
adda24,2026-04-11 18:42:07+00:00,42.7357,-92.593,8229,
adda24,2026-04-11 18:42:14+00:00,42.742,-92.609,8534,
adda24,2026-04-11 18:42:21+00:00,42.7479,-92.6252,8229,
adda24,2026-04-11 18:42:29+00:00,42.754,-92.6435,8534,
adda24,2026-04-11 18:42:36+00:00,42.759,-92.66,8229,
adda24,2026-04-11 18:42:43+00:00,42.7631,-92.6748,8229,
adda24,2026-04-11 18:44:30+00:00,42.8261,-92.9398,8229,
adda24,2026-04-11 18:48:02+00:00,42.9485,-93.4683,8534,
adda24,2026-04-11 18:49:10+00:00,42.9874,-93.64,8839,
adda24,2026-04-11 18:50:16+00:00,43.0247,-93.8045,9144,
adda24,2026-04-11 18:51:15+00:00,43.0569,-93.9479,9448,
adda24,2026-04-11 18:53:45+00:00,43.1377,-94.3125,9753,
adda24,2026-04-11 18:54:20+00:00,43.1561,-94.3964,9448,
adda24,2026-04-11 18:55:01+00:00,43.1781,-94.4963,9753,
adda24,2026-04-11 18:56:05+00:00,43.212,-94.653,9448,
adda24,2026-04-11 19:00:48+00:00,43.3612,-95.3539,9753,
adda24,2026-04-11 19:00:56+00:00,43.3651,-95.3726,9448,
adda24,2026-04-11 19:05:05+00:00,43.4948,-96.0021,9753,
adda24,2026-04-11 19:06:30+00:00,43.5376,-96.2147,9448,
adda24,2026-04-11 19:09:21+00:00,43.6235,-96.6476,9753,
adda24,2026-04-11 19:09:28+00:00,43.6271,-96.6657,9448,
adda24,2026-04-11 19:09:35+00:00,43.6306,-96.6835,9753,
adda24,2026-04-11 19:09:42+00:00,43.634,-96.7011,9448,
adda24,2026-04-11 19:13:14+00:00,43.7357,-97.2442,9753,
