icao24,time,lat,lon,altitude,velocity
adeca5,2026-04-12 12:15:44+00:00,29.5157,-98.478,304,
adeca5,2026-04-12 12:15:50+00:00,29.5127,-98.4816,609,
adeca5,2026-04-12 12:16:13+00:00,29.5002,-98.4966,609,
adeca5,2026-04-12 12:16:29+00:00,29.4907,-98.5078,914,
adeca5,2026-04-12 12:16:35+00:00,29.4875,-98.5123,914,
adeca5,2026-04-12 12:16:40+00:00,29.485,-98.5173,914,
adeca5,2026-04-12 12:16:46+00:00,29.4832,-98.5237,914,
adeca5,2026-04-12 12:16:51+00:00,29.4823,-98.5292,914,
adeca5,2026-04-12 12:16:57+00:00,29.4819,-98.5365,914,
adeca5,2026-04-12 12:17:02+00:00,29.4825,-98.5433,914,
adeca5,2026-04-12 12:17:08+00:00,29.4842,-98.5513,914,
adeca5,2026-04-12 12:17:14+00:00,29.4873,-98.5589,1219,
adeca5,2026-04-12 12:17:20+00:00,29.4919,-98.5663,1219,
adeca5,2026-04-12 12:17:26+00:00,29.4976,-98.5723,1219,
adeca5,2026-04-12 12:17:31+00:00,29.5033,-98.5769,1219,
adeca5,2026-04-12 12:17:37+00:00,29.5105,-98.5814,1524,
adeca5,2026-04-12 12:17:43+00:00,29.5183,-98.5855,1524,
adeca5,2026-04-12 12:17:49+00:00,29.5257,-98.5892,1524,
adeca5,2026-04-12 12:18:08+00:00,29.5491,-98.6008,1828,
adeca5,2026-04-12 12:18:31+00:00,29.577,-98.616,2133,
adeca5,2026-04-12 12:18:54+00:00,29.6047,-98.6323,2438,
adeca5,2026-04-12 12:19:17+00:00,29.6321,-98.6488,2743,
adeca5,2026-04-12 12:19:57+00:00,29.6814,-98.6785,3048,
adeca5,2026-04-12 12:20:51+00:00,29.7593,-98.7254,3352,
adeca5,2026-04-12 12:21:26+00:00,29.8136,-98.7582,3657,
adeca5,2026-04-12 12:21:59+00:00,29.8655,-98.7894,3962,
adeca5,2026-04-12 12:22:04+00:00,29.8737,-98.7947,4267,
adeca5,2026-04-12 12:22:11+00:00,29.8838,-98.8029,4267,
adeca5,2026-04-12 12:22:17+00:00,29.8919,-98.8112,4267,
adeca5,2026-04-12 12:22:23+00:00,29.8993,-98.8205,4267,
adeca5,2026-04-12 12:22:29+00:00,29.9057,-98.8293,4267,
adeca5,2026-04-12 12:22:59+00:00,29.9401,-98.8774,4572,
adeca5,2026-04-12 12:23:23+00:00,29.9679,-98.9166,4876,
adeca5,2026-04-12 12:23:46+00:00,29.9944,-98.9538,5181,
adeca5,2026-04-12 12:24:23+00:00,30.0357,-99.0123,5486,
adeca5,2026-04-12 12:24:32+00:00,30.0471,-99.0283,5791,
adeca5,2026-04-12 12:24:38+00:00,30.0547,-99.0381,5791,
adeca5,2026-04-12 12:24:43+00:00,30.0609,-99.0456,5791,
adeca5,2026-04-12 12:24:49+00:00,30.0694,-99.0551,5791,
adeca5,2026-04-12 12:25:10+00:00,30.0991,-99.0861,5791,
adeca5,2026-04-12 12:25:16+00:00,30.1086,-99.0948,6096,
adeca5,2026-04-12 12:25:21+00:00,30.1171,-99.1011,6096,
adeca5,2026-04-12 12:25:27+00:00,30.1273,-99.1073,6096,
adeca5,2026-04-12 12:25:33+00:00,30.1382,-99.1125,6096,
adeca5,2026-04-12 12:25:38+00:00,30.1482,-99.1162,6096,
adeca5,2026-04-12 12:25:44+00:00,30.1608,-99.1194,6096,
adeca5,2026-04-12 12:25:49+00:00,30.1712,-99.121,6096,
adeca5,2026-04-12 12:25:54+00:00,30.1808,-99.1218,6096,
adeca5,2026-04-12 12:25:59+00:00,30.192,-99.1223,6400,
adeca5,2026-04-12 12:26:05+00:00,30.2037,-99.1222,6400,
adeca5,2026-04-12 12:26:12+00:00,30.2166,-99.1215,6400,
adeca5,2026-04-12 12:26:36+00:00,30.2682,-99.1165,6400,
adeca5,2026-04-12 12:27:41+00:00,30.4091,-99.1033,6705,
adeca5,2026-04-12 12:28:38+00:00,30.5369,-99.091,7010,
adeca5,2026-04-12 12:29:34+00:00,30.6654,-99.0785,7315,
adeca5,2026-04-12 12:30:23+00:00,30.7805,-99.0673,7620,
adeca5,2026-04-12 12:31:03+00:00,30.8735,-99.0582,7924,
adeca5,2026-04-12 12:35:14+00:00,31.4493,-99.0017,8229,
adeca5,2026-04-12 12:35:19+00:00,31.4601,-99.0013,8229,
adeca5,2026-04-12 12:35:24+00:00,31.4744,-99.0016,8229,
adeca5,2026-04-12 12:35:31+00:00,31.4886,-99.003,8229,
adeca5,2026-04-12 12:35:36+00:00,31.4995,-99.0049,8229,
adeca5,2026-04-12 12:35:48+00:00,31.5268,-99.0107,8229,
adeca5,2026-04-12 12:38:25+00:00,31.871,-99.0855,8229,
adeca5,2026-04-12 12:38:31+00:00,31.8843,-99.088,8229,
adeca5,2026-04-12 12:38:38+00:00,31.8984,-99.0896,8229,
adeca5,2026-04-12 12:38:43+00:00,31.9098,-99.0901,8229,
adeca5,2026-04-12 12:38:51+00:00,31.929,-99.0892,8229,
adeca5,2026-04-12 12:38:58+00:00,31.9435,-99.087,8229,
adeca5,2026-04-12 12:39:04+00:00,31.9563,-99.0839,8229,
