icao24,time,lat,lon,altitude,velocity
ae0cbc,2026-04-11 19:20:40+00:00,41.6754,-70.6049,0,
ae0cbc,2026-04-11 19:21:18+00:00,41.6925,-70.6084,0,
ae0cbc,2026-04-11 19:21:25+00:00,41.696,-70.6089,0,
ae0cbc,2026-04-11 19:21:54+00:00,41.7092,-70.6097,0,
ae0cbc,2026-04-11 19:22:19+00:00,41.7209,-70.6098,0,
ae0cbc,2026-04-11 19:22:26+00:00,41.724,-70.6096,0,
ae0cbc,2026-04-11 19:22:32+00:00,41.7263,-70.6093,0,
ae0cbc,2026-04-11 19:22:47+00:00,41.7322,-70.6073,0,
ae0cbc,2026-04-11 19:23:08+00:00,41.7338,-70.6094,0,
ae0cbc,2026-04-11 19:23:17+00:00,41.7323,-70.607,0,
ae0cbc,2026-04-11 19:23:23+00:00,41.7331,-70.6055,0,
ae0cbc,2026-04-11 19:23:26+00:00,41.7342,-70.6051,0,
ae0cbc,2026-04-11 19:23:50+00:00,41.7386,-70.6121,0,
ae0cbc,2026-04-11 19:24:14+00:00,41.7431,-70.6228,0,
ae0cbc,2026-04-11 19:24:23+00:00,41.7419,-70.6271,0,
ae0cbc,2026-04-11 19:24:32+00:00,41.7385,-70.6288,0,
ae0cbc,2026-04-11 19:24:40+00:00,41.7362,-70.626,0,
ae0cbc,2026-04-11 19:24:48+00:00,41.7368,-70.622,0,
ae0cbc,2026-04-11 19:24:56+00:00,41.7393,-70.6184,0,
ae0cbc,2026-04-11 19:24:58+00:00,41.74,-70.6176,0,
ae0cbc,2026-04-11 19:25:08+00:00,41.7438,-70.6134,0,
ae0cbc,2026-04-11 19:25:19+00:00,41.7479,-70.6094,0,
ae0cbc,2026-04-11 19:25:27+00:00,41.7512,-70.6063,0,
ae0cbc,2026-04-11 19:25:35+00:00,41.7544,-70.6038,0,
ae0cbc,2026-04-11 19:25:42+00:00,41.7579,-70.6017,0,
ae0cbc,2026-04-11 19:25:49+00:00,41.761,-70.6001,0,
ae0cbc,2026-04-11 19:25:58+00:00,41.7654,-70.5981,304,
ae0cbc,2026-04-11 19:26:05+00:00,41.7691,-70.5967,304,
ae0cbc,2026-04-11 19:26:13+00:00,41.7729,-70.5958,304,
ae0cbc,2026-04-11 19:26:21+00:00,41.7769,-70.595,0,
ae0cbc,2026-04-11 19:26:30+00:00,41.7812,-70.5943,304,
ae0cbc,2026-04-11 19:26:43+00:00,41.7875,-70.5936,304,
ae0cbc,2026-04-11 19:27:02+00:00,41.796,-70.593,304,
ae0cbc,2026-04-11 19:27:33+00:00,41.8103,-70.5923,0,
ae0cbc,2026-04-11 19:27:44+00:00,41.8152,-70.5927,304,
ae0cbc,2026-04-11 19:27:53+00:00,41.8191,-70.5931,304,
ae0cbc,2026-04-11 19:27:59+00:00,41.8216,-70.5935,304,
ae0cbc,2026-04-11 19:28:20+00:00,41.8311,-70.5954,0,
ae0cbc,2026-04-11 19:28:29+00:00,41.8351,-70.5964,0,
ae0cbc,2026-04-11 19:28:59+00:00,41.8488,-70.6009,0,
ae0cbc,2026-04-11 19:29:27+00:00,41.8633,-70.5985,0,
ae0cbc,2026-04-11 19:30:14+00:00,41.8867,-70.5983,0,
