icao24,time,lat,lon,altitude,velocity
ae1fa9,2026-04-11 19:19:33+00:00,46.9018,-96.8098,304,
ae1fa9,2026-04-11 19:19:42+00:00,46.8999,-96.8125,304,
ae1fa9,2026-04-11 19:19:50+00:00,46.8989,-96.817,304,
ae1fa9,2026-04-11 19:19:56+00:00,46.8985,-96.8212,304,
ae1fa9,2026-04-11 19:20:03+00:00,46.8984,-96.8262,304,
ae1fa9,2026-04-11 19:20:50+00:00,46.8984,-96.8581,304,
ae1fa9,2026-04-11 19:22:20+00:00,46.8972,-96.9199,609,
ae1fa9,2026-04-11 19:23:46+00:00,46.8963,-96.9767,914,
ae1fa9,2026-04-11 19:25:13+00:00,46.8953,-97.0201,1219,
ae1fa9,2026-04-11 19:25:59+00:00,46.8944,-97.0455,1219,
ae1fa9,2026-04-11 19:28:21+00:00,46.8931,-97.1367,1219,
