icao24,time,lat,lon,altitude,velocity
ae630d,2026-04-11 18:03:13+00:00,36.1226,-86.6846,0,
ae630d,2026-04-11 18:03:20+00:00,36.1165,-86.6879,0,
ae630d,2026-04-11 18:03:27+00:00,36.1111,-86.6925,0,
ae630d,2026-04-11 18:03:34+00:00,36.1065,-86.6992,304,
ae630d,2026-04-11 18:03:41+00:00,36.1036,-86.7075,304,
ae630d,2026-04-11 18:03:49+00:00,36.1026,-86.7181,609,
ae630d,2026-04-11 18:04:12+00:00,36.1006,-86.7491,609,
ae630d,2026-04-11 18:04:25+00:00,36.0995,-86.767,914,
ae630d,2026-04-11 18:04:32+00:00,36.1001,-86.7767,914,
ae630d,2026-04-11 18:04:47+00:00,36.1022,-86.7973,1219,
ae630d,2026-04-11 18:05:02+00:00,36.1042,-86.8199,1524,
ae630d,2026-04-11 18:05:10+00:00,36.1051,-86.8311,1828,
ae630d,2026-04-11 18:05:23+00:00,36.1068,-86.853,2133,
ae630d,2026-04-11 18:05:30+00:00,36.1077,-86.8642,2438,
ae630d,2026-04-11 18:05:44+00:00,36.1095,-86.887,2743,
ae630d,2026-04-11 18:05:58+00:00,36.1115,-86.9096,3048,
ae630d,2026-04-11 18:06:29+00:00,36.1156,-86.9618,3962,
ae630d,2026-04-11 18:07:27+00:00,36.1273,-87.0656,4267,
ae630d,2026-04-11 18:07:42+00:00,36.1298,-87.0937,4572,
ae630d,2026-04-11 18:07:49+00:00,36.1306,-87.1067,4876,
ae630d,2026-04-11 18:08:30+00:00,36.1338,-87.18,5791,
ae630d,2026-04-11 18:08:51+00:00,36.1362,-87.2174,6096,
ae630d,2026-04-11 18:09:21+00:00,36.1393,-87.2726,6400,
ae630d,2026-04-11 18:09:36+00:00,36.1407,-87.3015,6705,
ae630d,2026-04-11 18:09:56+00:00,36.1422,-87.3428,7010,
ae630d,2026-04-11 18:10:13+00:00,36.1435,-87.3746,7315,
ae630d,2026-04-11 18:10:34+00:00,36.1456,-87.4172,7620,
ae630d,2026-04-11 18:11:03+00:00,36.1483,-87.4762,7924,
ae630d,2026-04-11 18:12:26+00:00,36.1559,-87.6423,8229,
ae630d,2026-04-11 18:12:42+00:00,36.1577,-87.6735,8534,
ae630d,2026-04-11 18:13:16+00:00,36.1615,-87.7395,8229,
ae630d,2026-04-11 18:13:46+00:00,36.1648,-87.7971,8534,
ae630d,2026-04-11 18:17:47+00:00,36.1865,-88.2449,8229,
ae630d,2026-04-11 18:17:54+00:00,36.187,-88.2581,8534,
ae630d,2026-04-11 18:22:05+00:00,36.2075,-88.7314,8229,
ae630d,2026-04-11 18:26:06+00:00,36.2235,-89.1827,8534,
ae630d,2026-04-11 18:34:28+00:00,36.2529,-90.1107,8229,
ae630d,2026-04-11 18:34:42+00:00,36.2536,-90.1364,8534,
ae630d,2026-04-11 18:35:36+00:00,36.2579,-90.2344,8229,
ae630d,2026-04-11 18:37:09+00:00,36.264,-90.4052,8534,
ae630d,2026-04-11 18:39:18+00:00,36.2714,-90.6393,8229,
