icao24,time,lat,lon,altitude,velocity
ae6321,2026-04-11 17:59:54+00:00,36.1246,-86.6837,0,
ae6321,2026-04-11 18:00:07+00:00,36.1138,-86.6879,0,
ae6321,2026-04-11 18:00:30+00:00,36.094,-86.6956,304,
ae6321,2026-04-11 18:00:37+00:00,36.0879,-86.6994,609,
ae6321,2026-04-11 18:00:44+00:00,36.0834,-86.7056,609,
ae6321,2026-04-11 18:00:50+00:00,36.0809,-86.7136,609,
ae6321,2026-04-11 18:00:58+00:00,36.0802,-86.7227,914,
ae6321,2026-04-11 18:01:04+00:00,36.0796,-86.7313,914,
ae6321,2026-04-11 18:01:20+00:00,36.0782,-86.7496,1219,
ae6321,2026-04-11 18:02:31+00:00,36.0715,-86.8427,1524,
ae6321,2026-04-11 18:02:45+00:00,36.0701,-86.8643,1828,
ae6321,2026-04-11 18:02:53+00:00,36.0693,-86.8756,2133,
ae6321,2026-04-11 18:03:07+00:00,36.0681,-86.8979,2438,
ae6321,2026-04-11 18:03:21+00:00,36.0669,-86.921,2743,
ae6321,2026-04-11 18:03:28+00:00,36.0657,-86.933,3048,
ae6321,2026-04-11 18:03:35+00:00,36.0631,-86.9455,3048,
ae6321,2026-04-11 18:03:41+00:00,36.0604,-86.9584,3048,
ae6321,2026-04-11 18:03:57+00:00,36.0542,-86.9877,3352,
ae6321,2026-04-11 18:04:25+00:00,36.0422,-87.0444,3962,
ae6321,2026-04-11 18:04:39+00:00,36.0362,-87.0734,4267,
ae6321,2026-04-11 18:04:47+00:00,36.0326,-87.0897,4572,
ae6321,2026-04-11 18:05:10+00:00,36.0225,-87.1351,5181,
ae6321,2026-04-11 18:05:16+00:00,36.0196,-87.149,5181,
ae6321,2026-04-11 18:05:23+00:00,36.0178,-87.1645,5181,
ae6321,2026-04-11 18:05:45+00:00,36.0148,-87.2116,5486,
ae6321,2026-04-11 18:05:51+00:00,36.0136,-87.2268,5791,
ae6321,2026-04-11 18:05:58+00:00,36.0124,-87.2421,6096,
ae6321,2026-04-11 18:06:09+00:00,36.0126,-87.2651,6096,
ae6321,2026-04-11 18:06:38+00:00,36.0161,-87.3306,6400,
ae6321,2026-04-11 18:06:59+00:00,36.0197,-87.3807,6705,
ae6321,2026-04-11 18:07:43+00:00,36.0265,-87.478,7010,
ae6321,2026-04-11 18:13:32+00:00,36.07,-88.1469,7315,
ae6321,2026-04-11 18:13:38+00:00,36.0707,-88.1588,7010,
ae6321,2026-04-11 18:15:20+00:00,36.0829,-88.3413,7315,
ae6321,2026-04-11 18:15:35+00:00,36.0856,-88.3695,7315,
ae6321,2026-04-11 18:24:41+00:00,36.1471,-89.4337,7315,
ae6321,2026-04-11 18:25:29+00:00,36.1502,-89.5267,7315,
ae6321,2026-04-11 18:25:37+00:00,36.1508,-89.5423,7010,
ae6321,2026-04-11 18:40:34+00:00,36.2228,-91.3142,7315,
ae6321,2026-04-11 18:48:28+00:00,36.2458,-92.2575,7315,
ae6321,2026-04-11 18:48:49+00:00,36.2469,-92.2988,7010,
ae6321,2026-04-11 18:50:31+00:00,36.2509,-92.5018,7315,
ae6321,2026-04-11 18:50:46+00:00,36.2517,-92.5314,7010,
ae6321,2026-04-11 18:50:53+00:00,36.2521,-92.5446,7315,
ae6321,2026-04-11 18:51:07+00:00,36.2527,-92.5738,7010,
ae6321,2026-04-11 18:52:11+00:00,36.2556,-92.7013,7315,
ae6321,2026-04-11 18:52:26+00:00,36.2564,-92.7305,7010,
ae6321,2026-04-11 18:53:51+00:00,36.2595,-92.9004,7315,
ae6321,2026-04-11 18:54:19+00:00,36.2609,-92.9539,7010,
ae6321,2026-04-11 18:54:46+00:00,36.2615,-93.007,6705,
ae6321,2026-04-11 18:55:07+00:00,36.2626,-93.0466,6400,
ae6321,2026-04-11 18:55:36+00:00,36.2627,-93.1016,6096,
ae6321,2026-04-11 18:55:57+00:00,36.2636,-93.1419,5791,
ae6321,2026-04-11 18:56:18+00:00,36.2645,-93.1832,5486,
ae6321,2026-04-11 18:56:52+00:00,36.2658,-93.2479,5181,
ae6321,2026-04-11 18:58:21+00:00,36.2693,-93.4122,4876,
ae6321,2026-04-11 18:58:55+00:00,36.2703,-93.4727,4572,
ae6321,2026-04-11 18:59:02+00:00,36.2705,-93.485,4267,
ae6321,2026-04-11 18:59:09+00:00,36.2714,-93.4966,4267,
ae6321,2026-04-11 18:59:16+00:00,36.2736,-93.5093,4267,
ae6321,2026-04-11 18:59:22+00:00,36.276,-93.5191,4267,
ae6321,2026-04-11 18:59:52+00:00,36.2899,-93.5691,3962,
ae6321,2026-04-11 19:00:00+00:00,36.2933,-93.5816,3657,
ae6321,2026-04-11 19:00:07+00:00,36.2962,-93.5936,3657,
ae6321,2026-04-11 19:00:13+00:00,36.2983,-93.6035,3657,
ae6321,2026-04-11 19:00:27+00:00,36.3037,-93.6268,3352,
ae6321,2026-04-11 19:00:32+00:00,36.3054,-93.6355,3352,
ae6321,2026-04-11 19:00:40+00:00,36.307,-93.6481,3048,
ae6321,2026-04-11 19:01:01+00:00,36.3167,-93.6855,2743,
ae6321,2026-04-11 19:01:08+00:00,36.3186,-93.6975,2743,
ae6321,2026-04-11 19:01:35+00:00,36.3286,-93.744,2438,
ae6321,2026-04-11 19:02:44+00:00,36.352,-93.8514,2133,
ae6321,2026-04-11 19:03:12+00:00,36.3613,-93.8948,1828,
ae6321,2026-04-11 19:04:02+00:00,36.3767,-93.9676,1524,
ae6321,2026-04-11 19:04:44+00:00,36.3891,-94.0243,1219,
ae6321,2026-04-11 19:07:11+00:00,36.4268,-94.2054,914,
ae6321,2026-04-11 19:07:18+00:00,36.4282,-94.2136,914,
ae6321,2026-04-11 19:07:25+00:00,36.429,-94.2225,914,
ae6321,2026-04-11 19:07:32+00:00,36.4303,-94.231,914,
ae6321,2026-04-11 19:07:39+00:00,36.4319,-94.2391,914,
ae6321,2026-04-11 19:07:45+00:00,36.433,-94.247,914,
ae6321,2026-04-11 19:07:55+00:00,36.432,-94.2585,914,
ae6321,2026-04-11 19:08:03+00:00,36.4286,-94.267,914,
ae6321,2026-04-11 19:09:05+00:00,36.4029,-94.3308,914,
ae6321,2026-04-11 19:09:12+00:00,36.3993,-94.337,609,
ae6321,2026-04-11 19:09:19+00:00,36.3942,-94.3413,609,
ae6321,2026-04-11 19:09:27+00:00,36.3875,-94.343,609,
ae6321,2026-04-11 19:09:34+00:00,36.3817,-94.3433,609,
ae6321,2026-04-11 19:09:40+00:00,36.3772,-94.3423,609,
ae6321,2026-04-11 19:09:48+00:00,36.372,-94.3404,609,
ae6321,2026-04-11 19:09:56+00:00,36.3666,-94.3391,609,
ae6321,2026-04-11 19:10:03+00:00,36.3615,-94.3385,609,
ae6321,2026-04-11 19:10:10+00:00,36.3563,-94.3378,609,
ae6321,2026-04-11 19:10:18+00:00,36.3505,-94.3356,609,
ae6321,2026-04-11 19:10:31+00:00,36.341,-94.3323,609,
ae6321,2026-04-11 19:10:39+00:00,36.335,-94.3304,609,
ae6321,2026-04-11 19:10:46+00:00,36.3298,-94.3286,609,
ae6321,2026-04-11 19:10:53+00:00,36.3251,-94.3266,609,
ae6321,2026-04-11 19:11:35+00:00,36.2993,-94.315,304,
ae6321,2026-04-11 19:11:50+00:00,36.2883,-94.3096,304,
ae6321,2026-04-11 19:11:58+00:00,36.2812,-94.3061,609,
ae6321,2026-04-11 19:12:06+00:00,36.2741,-94.3032,609,
ae6321,2026-04-11 19:12:13+00:00,36.268,-94.3025,609,
ae6321,2026-04-11 19:12:20+00:00,36.2613,-94.3042,609,
ae6321,2026-04-11 19:12:28+00:00,36.2552,-94.31,609,
ae6321,2026-04-11 19:12:36+00:00,36.2513,-94.3183,609,
ae6321,2026-04-11 19:12:43+00:00,36.249,-94.3262,609,
ae6321,2026-04-11 19:12:51+00:00,36.2467,-94.336,609,
ae6321,2026-04-11 19:12:58+00:00,36.2451,-94.3435,609,
ae6321,2026-04-11 19:13:06+00:00,36.2447,-94.3536,609,
ae6321,2026-04-11 19:13:13+00:00,36.2466,-94.3615,609,
ae6321,2026-04-11 19:13:20+00:00,36.251,-94.3687,609,
ae6321,2026-04-11 19:13:28+00:00,36.2576,-94.3745,609,
ae6321,2026-04-11 19:15:12+00:00,36.3551,-94.4344,609,
ae6321,2026-04-11 19:15:19+00:00,36.3621,-94.4371,609,
ae6321,2026-04-11 19:15:26+00:00,36.3695,-94.4371,609,
ae6321,2026-04-11 19:15:33+00:00,36.3765,-94.4343,609,
ae6321,2026-04-11 19:15:40+00:00,36.3828,-94.429,609,
ae6321,2026-04-11 19:15:46+00:00,36.3869,-94.4226,609,
ae6321,2026-04-11 19:15:53+00:00,36.3898,-94.4149,609,
ae6321,2026-04-11 19:16:24+00:00,36.4017,-94.3793,609,
ae6321,2026-04-11 19:16:31+00:00,36.4037,-94.3713,609,
ae6321,2026-04-11 19:16:38+00:00,36.4037,-94.3624,609,
ae6321,2026-04-11 19:16:45+00:00,36.4017,-94.3544,609,
ae6321,2026-04-11 19:16:51+00:00,36.3982,-94.3485,609,
ae6321,2026-04-11 19:16:59+00:00,36.3915,-94.3431,609,
ae6321,2026-04-11 19:17:06+00:00,36.3849,-94.3418,609,
ae6321,2026-04-11 19:17:13+00:00,36.3792,-94.342,609,
ae6321,2026-04-11 19:17:34+00:00,36.3616,-94.343,609,
ae6321,2026-04-11 19:17:43+00:00,36.3546,-94.3435,609,
ae6321,2026-04-11 19:17:51+00:00,36.3488,-94.3425,609,
ae6321,2026-04-11 19:17:58+00:00,36.3444,-94.3401,609,
ae6321,2026-04-11 19:18:06+00:00,36.3397,-94.3362,304,
ae6321,2026-04-11 19:18:14+00:00,36.3348,-94.3319,304,
ae6321,2026-04-11 19:18:21+00:00,36.3302,-94.3284,304,
ae6321,2026-04-11 19:18:30+00:00,36.3239,-94.3254,304,
ae6321,2026-04-11 19:18:52+00:00,36.3091,-94.3196,304,
ae6321,2026-04-11 19:19:19+00:00,36.2888,-94.3091,304,
ae6321,2026-04-11 19:19:27+00:00,36.282,-94.3063,609,
ae6321,2026-04-11 19:19:34+00:00,36.2753,-94.3057,609,
ae6321,2026-04-11 19:19:41+00:00,36.2692,-94.3078,609,
ae6321,2026-04-11 19:19:49+00:00,36.2636,-94.3137,609,
ae6321,2026-04-11 19:19:54+00:00,36.261,-94.3188,609,
ae6321,2026-04-11 19:20:03+00:00,36.2582,-94.329,609,
ae6321,2026-04-11 19:20:09+00:00,36.2566,-94.3363,609,
ae6321,2026-04-11 19:20:19+00:00,36.2551,-94.3477,609,
ae6321,2026-04-11 19:20:27+00:00,36.2569,-94.3563,609,
ae6321,2026-04-11 19:20:34+00:00,36.2615,-94.364,609,
ae6321,2026-04-11 19:20:42+00:00,36.2683,-94.3695,609,
ae6321,2026-04-11 19:22:41+00:00,36.3768,-94.4366,609,
ae6321,2026-04-11 19:22:48+00:00,36.3836,-94.4391,609,
ae6321,2026-04-11 19:22:56+00:00,36.3928,-94.4381,609,
ae6321,2026-04-11 19:23:02+00:00,36.3991,-94.4349,609,
ae6321,2026-04-11 19:23:10+00:00,36.4056,-94.4281,609,
ae6321,2026-04-11 19:23:18+00:00,36.4102,-94.4198,609,
ae6321,2026-04-11 19:23:25+00:00,36.413,-94.412,609,
ae6321,2026-04-11 19:23:32+00:00,36.4153,-94.4031,609,
ae6321,2026-04-11 19:23:39+00:00,36.4155,-94.3937,609,
ae6321,2026-04-11 19:23:46+00:00,36.4137,-94.3847,609,
ae6321,2026-04-11 19:23:54+00:00,36.4093,-94.3761,609,
ae6321,2026-04-11 19:24:01+00:00,36.4055,-94.3699,609,
ae6321,2026-04-11 19:24:08+00:00,36.4014,-94.3635,609,
ae6321,2026-04-11 19:24:15+00:00,36.3972,-94.3588,609,
ae6321,2026-04-11 19:24:25+00:00,36.3907,-94.3561,609,
ae6321,2026-04-11 19:24:33+00:00,36.3864,-94.3549,609,
ae6321,2026-04-11 19:24:40+00:00,36.3819,-94.3533,609,
ae6321,2026-04-11 19:24:48+00:00,36.3766,-94.3511,609,
ae6321,2026-04-11 19:24:56+00:00,36.3719,-94.3485,609,
ae6321,2026-04-11 19:25:04+00:00,36.3667,-94.3453,609,
ae6321,2026-04-11 19:25:12+00:00,36.3617,-94.3429,609,
ae6321,2026-04-11 19:25:20+00:00,36.357,-94.341,609,
ae6321,2026-04-11 19:25:43+00:00,36.342,-94.3355,609,
ae6321,2026-04-11 19:25:51+00:00,36.3372,-94.3332,304,
ae6321,2026-04-11 19:26:06+00:00,36.3284,-94.3288,304,
ae6321,2026-04-11 19:26:22+00:00,36.3189,-94.3235,304,
ae6321,2026-04-11 19:27:18+00:00,36.2834,-94.3066,304,
ae6321,2026-04-11 19:27:32+00:00,36.2711,-94.3006,609,
ae6321,2026-04-11 19:27:39+00:00,36.2642,-94.2982,609,
ae6321,2026-04-11 19:27:46+00:00,36.2578,-94.2978,609,
ae6321,2026-04-11 19:27:53+00:00,36.2516,-94.2996,609,
ae6321,2026-04-11 19:28:00+00:00,36.2463,-94.3046,609,
ae6321,2026-04-11 19:28:07+00:00,36.2433,-94.3117,609,
ae6321,2026-04-11 19:28:14+00:00,36.2414,-94.3195,609,
ae6321,2026-04-11 19:28:20+00:00,36.2398,-94.326,609,
ae6321,2026-04-11 19:28:28+00:00,36.2377,-94.3349,609,
ae6321,2026-04-11 19:28:38+00:00,36.238,-94.3475,609,
ae6321,2026-04-11 19:28:45+00:00,36.2414,-94.3552,609,
ae6321,2026-04-11 19:28:52+00:00,36.2467,-94.3615,609,
ae6321,2026-04-11 19:29:00+00:00,36.2537,-94.3665,609,
ae6321,2026-04-11 19:30:12+00:00,36.3211,-94.4076,609,
