icao24,time,lat,lon,altitude,velocity
c047e9,2026-04-11 17:38:53+00:00,42.3136,-82.0362,609,
c047e9,2026-04-11 17:40:15+00:00,42.2914,-82.0717,609,
c047e9,2026-04-11 17:41:05+00:00,42.2775,-82.093,914,
c047e9,2026-04-11 17:41:45+00:00,42.2668,-82.1106,914,
c047e9,2026-04-11 17:43:06+00:00,42.245,-82.1477,914,
c047e9,2026-04-11 17:43:40+00:00,42.2363,-82.1636,1219,
c047e9,2026-04-11 17:43:58+00:00,42.2319,-82.1723,1219,
c047e9,2026-04-11 17:45:22+00:00,42.2125,-82.2124,1219,
c047e9,2026-04-11 17:46:06+00:00,42.2019,-82.2317,1219,
c047e9,2026-04-11 17:46:13+00:00,42.2001,-82.2347,1219,
c047e9,2026-04-11 17:46:21+00:00,42.198,-82.2382,1219,
c047e9,2026-04-11 17:46:27+00:00,42.1961,-82.2408,1219,
c047e9,2026-04-11 17:48:37+00:00,42.155,-82.2948,1524,
c047e9,2026-04-11 17:48:53+00:00,42.1495,-82.3029,1524,
c047e9,2026-04-11 17:49:08+00:00,42.1445,-82.3107,1524,
c047e9,2026-04-11 17:50:22+00:00,42.1197,-82.3526,1524,
c047e9,2026-04-11 17:50:34+00:00,42.1158,-82.3595,1524,
c047e9,2026-04-11 17:50:57+00:00,42.1088,-82.373,1524,
c047e9,2026-04-11 17:51:13+00:00,42.1041,-82.3829,1524,
c047e9,2026-04-11 17:51:21+00:00,42.102,-82.3875,1524,
c047e9,2026-04-11 17:51:26+00:00,42.1006,-82.3908,1524,
c047e9,2026-04-11 17:51:42+00:00,42.0968,-82.4006,1524,
c047e9,2026-04-11 17:51:58+00:00,42.0953,-82.4104,1524,
c047e9,2026-04-11 18:06:52+00:00,42.0869,-82.9731,1524,
c047e9,2026-04-11 18:12:10+00:00,42.0832,-83.1744,1524,
c047e9,2026-04-11 18:12:19+00:00,42.0825,-83.1798,1524,
c047e9,2026-04-11 18:12:27+00:00,42.0804,-83.1841,1524,
c047e9,2026-04-11 18:12:35+00:00,42.077,-83.1868,1524,
c047e9,2026-04-11 18:12:43+00:00,42.0728,-83.1875,1524,
c047e9,2026-04-11 18:12:53+00:00,42.0674,-83.1853,1524,
c047e9,2026-04-11 18:13:01+00:00,42.0635,-83.1816,1524,
c047e9,2026-04-11 18:13:09+00:00,42.0603,-83.1774,1524,
c047e9,2026-04-11 18:16:28+00:00,41.9795,-83.0644,1524,
c047e9,2026-04-11 18:16:35+00:00,41.9765,-83.0607,1524,
c047e9,2026-04-11 18:16:43+00:00,41.9732,-83.056,1524,
c047e9,2026-04-11 18:16:50+00:00,41.9717,-83.0511,1524,
c047e9,2026-04-11 18:16:57+00:00,41.9716,-83.0457,1524,
c047e9,2026-04-11 18:17:04+00:00,41.972,-83.0404,1524,
c047e9,2026-04-11 18:17:11+00:00,41.9722,-83.035,1524,
c047e9,2026-04-11 18:21:11+00:00,41.9753,-82.8516,1524,
c047e9,2026-04-11 18:21:27+00:00,41.9758,-82.8393,1524,
c047e9,2026-04-11 18:21:35+00:00,41.9759,-82.8332,1524,
c047e9,2026-04-11 18:21:58+00:00,41.9757,-82.8155,1524,
c047e9,2026-04-11 18:22:45+00:00,41.9762,-82.7809,1524,
c047e9,2026-04-11 18:22:52+00:00,41.976,-82.7753,1524,
c047e9,2026-04-11 18:22:59+00:00,41.9755,-82.7703,1524,
c047e9,2026-04-11 18:23:08+00:00,41.9738,-82.7632,1524,
c047e9,2026-04-11 18:23:16+00:00,41.9729,-82.7573,1524,
c047e9,2026-04-11 18:23:23+00:00,41.9736,-82.7522,1524,
c047e9,2026-04-11 18:23:32+00:00,41.9761,-82.7473,1524,
c047e9,2026-04-11 18:23:38+00:00,41.979,-82.7449,1524,
c047e9,2026-04-11 18:23:46+00:00,41.9828,-82.7443,1524,
c047e9,2026-04-11 18:23:54+00:00,41.9863,-82.746,1524,
c047e9,2026-04-11 18:24:01+00:00,41.9884,-82.749,1524,
c047e9,2026-04-11 18:24:09+00:00,41.9894,-82.753,1524,
c047e9,2026-04-11 18:24:15+00:00,41.9895,-82.7572,1524,
c047e9,2026-04-11 18:27:01+00:00,41.9876,-82.8643,1524,
c047e9,2026-04-11 18:30:19+00:00,41.9857,-82.9889,1524,
c047e9,2026-04-11 18:30:33+00:00,41.9858,-82.9975,1524,
c047e9,2026-04-11 18:31:32+00:00,41.9847,-83.0356,1524,
c047e9,2026-04-11 18:31:40+00:00,41.9845,-83.0399,1524,
c047e9,2026-04-11 18:31:47+00:00,41.9836,-83.0442,1524,
c047e9,2026-04-11 18:31:53+00:00,41.9821,-83.0481,1524,
c047e9,2026-04-11 18:32:01+00:00,41.9803,-83.0528,1524,
c047e9,2026-04-11 18:32:08+00:00,41.9802,-83.0569,1524,
c047e9,2026-04-11 18:32:15+00:00,41.9817,-83.0607,1524,
c047e9,2026-04-11 18:32:22+00:00,41.984,-83.063,1524,
c047e9,2026-04-11 18:32:28+00:00,41.9867,-83.064,1524,
c047e9,2026-04-11 18:32:37+00:00,41.9903,-83.0635,1524,
c047e9,2026-04-11 18:32:43+00:00,41.9932,-83.0616,1524,
c047e9,2026-04-11 18:32:53+00:00,41.9962,-83.0573,1524,
c047e9,2026-04-11 18:32:59+00:00,41.9975,-83.0524,1524,
c047e9,2026-04-11 18:33:07+00:00,41.9977,-83.0472,1524,
c047e9,2026-04-11 18:34:15+00:00,41.998,-82.9954,1524,
c047e9,2026-04-11 18:40:41+00:00,42.0025,-82.7078,1524,
c047e9,2026-04-11 18:40:48+00:00,42.0024,-82.7025,1524,
c047e9,2026-04-11 18:40:56+00:00,42.0022,-82.697,1524,
c047e9,2026-04-11 18:41:03+00:00,42.0016,-82.6918,1524,
c047e9,2026-04-11 18:41:11+00:00,41.9997,-82.6855,1524,
c047e9,2026-04-11 18:41:18+00:00,41.9987,-82.6803,1524,
c047e9,2026-04-11 18:41:25+00:00,41.9991,-82.6752,1524,
c047e9,2026-04-11 18:41:32+00:00,42.0009,-82.6707,1524,
c047e9,2026-04-11 18:41:39+00:00,42.0038,-82.6676,1524,
c047e9,2026-04-11 18:41:46+00:00,42.0069,-82.6666,1524,
c047e9,2026-04-11 18:41:52+00:00,42.0098,-82.6671,1524,
c047e9,2026-04-11 18:41:58+00:00,42.0123,-82.669,1524,
c047e9,2026-04-11 18:42:07+00:00,42.0146,-82.6735,1524,
c047e9,2026-04-11 18:42:14+00:00,42.0152,-82.6777,1524,
c047e9,2026-04-11 18:42:22+00:00,42.0155,-82.6821,1524,
c047e9,2026-04-11 18:42:29+00:00,42.0155,-82.6867,1524,
c047e9,2026-04-11 18:52:40+00:00,42.0089,-83.0709,1524,
