icao24,time,lat,lon,altitude,velocity
c07d1a,2026-04-12 11:19:44+00:00,43.6842,-79.6493,0,
c07d1a,2026-04-12 11:20:03+00:00,43.6928,-79.6364,0,
c07d1a,2026-04-12 11:20:08+00:00,43.6956,-79.6325,304,
c07d1a,2026-04-12 11:20:14+00:00,43.6994,-79.6285,304,
c07d1a,2026-04-12 11:20:19+00:00,43.7026,-79.6253,304,
c07d1a,2026-04-12 11:20:42+00:00,43.7206,-79.6089,609,
c07d1a,2026-04-12 11:21:01+00:00,43.7373,-79.5932,914,
c07d1a,2026-04-12 11:21:11+00:00,43.7464,-79.5842,1219,
c07d1a,2026-04-12 11:21:16+00:00,43.751,-79.5793,1219,
c07d1a,2026-04-12 11:21:21+00:00,43.7558,-79.5736,1219,
c07d1a,2026-04-12 11:21:25+00:00,43.7592,-79.5689,1524,
c07d1a,2026-04-12 11:21:30+00:00,43.7629,-79.5629,1524,
c07d1a,2026-04-12 11:21:35+00:00,43.7663,-79.5553,1524,
c07d1a,2026-04-12 11:21:40+00:00,43.7689,-79.5474,1524,
c07d1a,2026-04-12 11:21:45+00:00,43.7705,-79.5384,1828,
c07d1a,2026-04-12 11:21:49+00:00,43.7708,-79.5311,1828,
c07d1a,2026-04-12 11:21:54+00:00,43.7704,-79.5227,1828,
c07d1a,2026-04-12 11:21:59+00:00,43.7688,-79.5133,1828,
c07d1a,2026-04-12 11:22:04+00:00,43.7662,-79.5049,1828,
c07d1a,2026-04-12 11:22:09+00:00,43.7625,-79.4969,2133,
c07d1a,2026-04-12 11:22:14+00:00,43.7585,-79.4908,2133,
c07d1a,2026-04-12 11:22:19+00:00,43.7529,-79.4841,2133,
c07d1a,2026-04-12 11:22:24+00:00,43.7478,-79.4787,2438,
c07d1a,2026-04-12 11:22:38+00:00,43.733,-79.4644,2438,
c07d1a,2026-04-12 11:22:47+00:00,43.7235,-79.4552,2743,
c07d1a,2026-04-12 11:22:52+00:00,43.7183,-79.4498,2743,
c07d1a,2026-04-12 11:22:57+00:00,43.7135,-79.4444,2743,
c07d1a,2026-04-12 11:23:01+00:00,43.7086,-79.4386,2743,
c07d1a,2026-04-12 11:23:14+00:00,43.6951,-79.4216,3048,
c07d1a,2026-04-12 11:23:19+00:00,43.6894,-79.4153,3048,
c07d1a,2026-04-12 11:23:24+00:00,43.6831,-79.4104,3048,
c07d1a,2026-04-12 11:23:29+00:00,43.6762,-79.4071,3048,
c07d1a,2026-04-12 11:23:34+00:00,43.6693,-79.4055,3352,
c07d1a,2026-04-12 11:23:39+00:00,43.6626,-79.4055,3352,
c07d1a,2026-04-12 11:23:43+00:00,43.657,-79.4067,3352,
c07d1a,2026-04-12 11:23:48+00:00,43.6501,-79.4097,3352,
c07d1a,2026-04-12 11:23:53+00:00,43.6438,-79.4132,3352,
c07d1a,2026-04-12 11:24:02+00:00,43.6324,-79.4204,3352,
c07d1a,2026-04-12 11:24:27+00:00,43.6,-79.4423,3657,
c07d1a,2026-04-12 11:24:50+00:00,43.5701,-79.4622,3962,
c07d1a,2026-04-12 11:25:32+00:00,43.5135,-79.4977,4267,
c07d1a,2026-04-12 11:25:37+00:00,43.507,-79.5022,4572,
c07d1a,2026-04-12 11:25:42+00:00,43.4999,-79.5076,4572,
c07d1a,2026-04-12 11:25:48+00:00,43.4921,-79.5141,4572,
c07d1a,2026-04-12 11:25:53+00:00,43.4859,-79.5196,4572,
c07d1a,2026-04-12 11:25:58+00:00,43.4797,-79.5257,4572,
c07d1a,2026-04-12 11:26:33+00:00,43.4381,-79.5701,4876,
