icao24,time,lat,lon,altitude,velocity
e8023a,2026-04-12 12:56:56+00:00,4.7011,-74.1358,2133,
e8023a,2026-04-12 12:57:02+00:00,4.6983,-74.1322,2438,
e8023a,2026-04-12 13:00:31+00:00,4.8636,-74.0388,4267,
e8023a,2026-04-12 13:00:51+00:00,4.8906,-74.0297,4572,
e8023a,2026-04-12 13:01:16+00:00,4.9269,-74.0176,4876,
e8023a,2026-04-12 13:01:43+00:00,4.9685,-74.0035,5181,
e8023a,2026-04-12 13:02:15+00:00,5.0176,-73.9869,5486,
e8023a,2026-04-12 13:02:19+00:00,5.0233,-73.9853,5486,
e8023a,2026-04-12 13:02:23+00:00,5.0312,-73.9833,5486,
e8023a,2026-04-12 13:02:51+00:00,5.0787,-73.9717,5791,
e8023a,2026-04-12 13:03:31+00:00,5.147,-73.9546,6096,
e8023a,2026-04-12 13:05:47+00:00,5.3898,-73.8943,6400,
e8023a,2026-04-12 13:06:05+00:00,5.4233,-73.886,6096,
e8023a,2026-04-12 13:06:51+00:00,5.5115,-73.864,6400,
e8023a,2026-04-12 13:07:10+00:00,5.5469,-73.8552,6705,
e8023a,2026-04-12 13:07:31+00:00,5.5855,-73.8466,7010,
e8023a,2026-04-12 13:08:18+00:00,5.6737,-73.8293,7315,
e8023a,2026-04-12 13:09:02+00:00,5.7577,-73.8126,7620,
e8023a,2026-04-12 13:09:37+00:00,5.8263,-73.7986,7924,
e8023a,2026-04-12 13:10:21+00:00,5.9125,-73.7806,8229,
