icao24,time,lat,lon,altitude,velocity
e8024d,2026-04-11 19:24:07+00:00,4.6895,-74.1417,2438,
e8024d,2026-04-11 19:24:15+00:00,4.6858,-74.137,2438,
e8024d,2026-04-11 19:24:25+00:00,4.6799,-74.1315,2743,
e8024d,2026-04-11 19:24:33+00:00,4.6739,-74.1291,2743,
e8024d,2026-04-11 19:24:40+00:00,4.6684,-74.1288,2743,
e8024d,2026-04-11 19:24:48+00:00,4.6616,-74.1307,2743,
e8024d,2026-04-11 19:24:56+00:00,4.6561,-74.135,3048,
e8024d,2026-04-11 19:25:04+00:00,4.6524,-74.1405,3048,
e8024d,2026-04-11 19:25:20+00:00,4.6455,-74.1534,3048,
e8024d,2026-04-11 19:26:13+00:00,4.6196,-74.2012,3352,
e8024d,2026-04-11 19:26:22+00:00,4.6157,-74.2107,3657,
e8024d,2026-04-11 19:26:30+00:00,4.6135,-74.2203,3657,
e8024d,2026-04-11 19:26:57+00:00,4.6069,-74.2547,3657,
e8024d,2026-04-11 19:27:03+00:00,4.6052,-74.2634,3962,
e8024d,2026-04-11 19:27:11+00:00,4.6022,-74.2751,3962,
e8024d,2026-04-11 19:27:18+00:00,4.598,-74.2855,3962,
e8024d,2026-04-11 19:27:25+00:00,4.5933,-74.2948,3962,
e8024d,2026-04-11 19:27:32+00:00,4.5888,-74.3036,3962,
e8024d,2026-04-11 19:27:46+00:00,4.5787,-74.323,4267,
e8024d,2026-04-11 19:28:14+00:00,4.5588,-74.3612,4572,
e8024d,2026-04-11 19:28:31+00:00,4.5472,-74.384,4876,
e8024d,2026-04-11 19:28:38+00:00,4.5422,-74.394,5181,
e8024d,2026-04-11 19:28:45+00:00,4.5382,-74.4033,5181,
e8024d,2026-04-11 19:28:52+00:00,4.5346,-74.4137,5181,
e8024d,2026-04-11 19:29:36+00:00,4.5152,-74.4795,5181,
