icao24,time,lat,lon,altitude,velocity
e8025e,2026-04-11 18:48:55+00:00,-11.2863,-77.8298,8229,
e8025e,2026-04-11 18:49:32+00:00,-11.2219,-77.8692,8229,
e8025e,2026-04-11 18:50:16+00:00,-11.1463,-77.9154,8534,
e8025e,2026-04-11 18:51:00+00:00,-11.0691,-77.9625,8839,
e8025e,2026-04-11 18:51:08+00:00,-11.0546,-77.9709,9144,
e8025e,2026-04-11 18:51:51+00:00,-10.9757,-78.0121,9144,
e8025e,2026-04-11 18:52:26+00:00,-10.9112,-78.0461,9448,
e8025e,2026-04-11 18:53:09+00:00,-10.8347,-78.0862,9753,
e8025e,2026-04-11 18:53:58+00:00,-10.7448,-78.1333,10058,
e8025e,2026-04-11 18:54:39+00:00,-10.6705,-78.1722,10363,
e8025e,2026-04-11 18:55:20+00:00,-10.599,-78.2095,10668,
e8025e,2026-04-11 18:56:11+00:00,-10.5103,-78.2559,10972,
e8025e,2026-04-11 18:57:26+00:00,-10.3799,-78.324,11277,
e8025e,2026-04-11 19:09:47+00:00,-9.0322,-79.0185,11582,
e8025e,2026-04-11 19:10:38+00:00,-8.9398,-79.0653,11277,
e8025e,2026-04-11 19:11:15+00:00,-8.8738,-79.0987,10972,
e8025e,2026-04-11 19:11:50+00:00,-8.8116,-79.1304,10668,
e8025e,2026-04-11 19:12:36+00:00,-8.7327,-79.1703,10363,
e8025e,2026-04-11 19:13:43+00:00,-8.619,-79.2281,10058,
e8025e,2026-04-11 19:14:43+00:00,-8.5154,-79.2806,9753,
e8025e,2026-04-11 19:15:12+00:00,-8.4647,-79.3062,9448,
e8025e,2026-04-11 19:15:40+00:00,-8.4152,-79.3313,9144,
e8025e,2026-04-11 19:16:09+00:00,-8.3641,-79.357,8839,
e8025e,2026-04-11 19:16:45+00:00,-8.3015,-79.3887,8534,
e8025e,2026-04-11 19:17:07+00:00,-8.2635,-79.4078,8229,
e8025e,2026-04-11 19:17:13+00:00,-8.2524,-79.4124,8229,
e8025e,2026-04-11 19:17:20+00:00,-8.2389,-79.4165,7924,
e8025e,2026-04-11 19:17:28+00:00,-8.2256,-79.4188,7924,
e8025e,2026-04-11 19:17:34+00:00,-8.2132,-79.4196,7924,
e8025e,2026-04-11 19:17:50+00:00,-8.1844,-79.4199,7924,
e8025e,2026-04-11 19:18:22+00:00,-8.125,-79.421,7620,
e8025e,2026-04-11 19:18:58+00:00,-8.0582,-79.4228,7315,
e8025e,2026-04-11 19:19:27+00:00,-8.0049,-79.4241,7010,
e8025e,2026-04-11 19:20:03+00:00,-7.9394,-79.4257,6705,
e8025e,2026-04-11 19:20:34+00:00,-7.8831,-79.4271,6400,
e8025e,2026-04-11 19:21:10+00:00,-7.8183,-79.4283,6096,
e8025e,2026-04-11 19:21:40+00:00,-7.7655,-79.4295,5791,
e8025e,2026-04-11 19:22:19+00:00,-7.6973,-79.4311,5486,
e8025e,2026-04-11 19:22:47+00:00,-7.6487,-79.4322,5181,
e8025e,2026-04-11 19:23:11+00:00,-7.608,-79.433,4876,
