icao24,time,lat,lon,altitude,velocity
e80269,2026-04-12 12:42:42+00:00,-11.1009,-76.8532,8534,
e80269,2026-04-12 12:42:49+00:00,-11.0866,-76.8508,8534,
e80269,2026-04-12 12:43:31+00:00,-11.0033,-76.837,8839,
e80269,2026-04-12 12:43:39+00:00,-10.9875,-76.8344,9144,
e80269,2026-04-12 12:49:27+00:00,-10.2859,-76.7464,11277,
e80269,2026-04-12 12:49:46+00:00,-10.2486,-76.7422,11277,
e80269,2026-04-12 12:50:42+00:00,-10.1334,-76.7297,11582,
e80269,2026-04-12 12:58:44+00:00,-9.1518,-76.6223,11887,
e80269,2026-04-12 12:58:50+00:00,-9.1394,-76.6209,11582,
e80269,2026-04-12 12:59:15+00:00,-9.0892,-76.6154,11887,
e80269,2026-04-12 12:59:21+00:00,-9.0746,-76.6138,11582,
e80269,2026-04-12 13:03:03+00:00,-8.626,-76.5648,11887,
e80269,2026-04-12 13:04:12+00:00,-8.4858,-76.5495,11582,
e80269,2026-04-12 13:04:49+00:00,-8.4113,-76.5414,11277,
e80269,2026-04-12 13:05:08+00:00,-8.3721,-76.5371,10972,
e80269,2026-04-12 13:05:25+00:00,-8.3362,-76.5332,10668,
e80269,2026-04-12 13:05:47+00:00,-8.2919,-76.5284,10363,
e80269,2026-04-12 13:06:05+00:00,-8.2546,-76.5243,10058,
e80269,2026-04-12 13:06:30+00:00,-8.2018,-76.5185,9753,
e80269,2026-04-12 13:06:56+00:00,-8.1486,-76.5127,9448,
e80269,2026-04-12 13:07:22+00:00,-8.0986,-76.5073,9144,
e80269,2026-04-12 13:07:48+00:00,-8.0466,-76.5017,8839,
e80269,2026-04-12 13:08:15+00:00,-7.9947,-76.4961,8534,
e80269,2026-04-12 13:08:42+00:00,-7.943,-76.4904,8229,
e80269,2026-04-12 13:08:54+00:00,-7.9204,-76.4879,7924,
